,quality,comb,mean,min,max,quantile 0.25,quantile 0.50,quantile 0.75,var,nr of experiments
0,bad,4,21.8578538775712,5.787848950384888,181.7973380511239,9.803078650754966,12.975172602320105,18.711815913825852,761.9216585491032,100
1,bad,5,11.66288144854075,5.879433624676373,64.97809025406664,7.731513570538927,9.850806141508073,12.046124420255689,68.17378836308404,124
2,bad,6,9.095561655520722,5.713052240448439,32.022762570877376,6.865848028296631,7.9792082657313195,10.295054631865543,12.240246033898847,84
3,bad,7,8.012422727397459,5.739165720198973,13.272346198752716,6.839486455050571,7.074149692988083,9.527993698373363,3.2859814235293903,36
4,bad,8,7.386364424695968,6.724662200908901,10.614228342750044,6.812663319145443,6.9060729241975585,7.144752626969996,1.5489753622379094,9
5,bad,9,6.8285802841659695,6.8285802841659695,6.8285802841659695,6.8285802841659695,6.8285802841659695,6.8285802841659695,,1
6,good,4,8.06437467858091,0.49873617248157137,24.675458167350776,4.96621558819092,7.619855437878108,9.853603428466691,18.595864737792535,89
7,good,5,7.4029677988195965,1.6926897702598573,21.07715799509086,4.782161894839657,7.308507793737794,8.611222525697075,10.246057968634641,120
8,good,6,7.030045339079015,3.502172592353819,17.6211588847242,5.16282494076389,7.290765269689674,8.038587477780668,5.064537954400555,84
9,good,7,6.852557865565206,4.0193369610697385,9.469150226111164,6.4425484038603535,7.241901483051696,7.750009573634712,1.8515692902683945,36
10,good,8,6.913205440831562,4.896620892573642,7.922154392210078,6.717120797937195,7.108941519542461,7.329857003327821,0.7236955971596857,9
11,good,9,7.062617217627852,7.062617217627852,7.062617217627852,7.062617217627852,7.062617217627852,7.062617217627852,,1
12,overall,4,19.62006874551811,5.386625415514878,152.81063235515805,9.49972053227102,11.746628955663446,16.509373626755224,597.6758665807037,100
13,overall,5,10.518404548769603,5.682539121813131,55.67940377471739,7.6112510209801645,8.922445118775748,10.22742732453791,51.90523543970629,124
14,overall,6,8.332507482415295,6.363557151095247,28.103975784482284,7.148201014220626,7.742447107952568,8.939982937565958,6.445337299862186,84
15,overall,7,7.551823742716802,6.491038567840454,9.870412010866659,6.849166576488806,7.263625584101807,7.750973912441384,0.8494063683103682,36
16,overall,8,7.201393763838441,6.754538811261956,8.60810280586033,6.862332103143693,7.05811628421532,7.27966538984541,0.32690345614247696,9
17,overall,9,6.94559875089691,6.94559875089691,6.94559875089691,6.94559875089691,6.94559875089691,6.94559875089691,,1
